Entry	Reviewed	Entry Name	Protein names	Gene Names	Gene Names (ordered locus)	Organism	Length	Gene Ontology IDs	Transmembrane	Intramembrane
Q55447	unreviewed	Q55447_SYNY3	CheY subfamily	sll0039	sll0039	Synechocystis sp. (strain PCC 6803 / Kazusa)	119	GO:0000160		
Q55448	unreviewed	Q55448_SYNY3	PatA subfamily	sll0038	sll0038	Synechocystis sp. (strain PCC 6803 / Kazusa)	402	GO:0000160		
Q55449	unreviewed	Q55449_SYNY3	Slr0031 protein	slr0031	slr0031	Synechocystis sp. (strain PCC 6803 / Kazusa)	584			
Q55454	unreviewed	Q55454_SYNY3	Sll0034 protein	sll0034	sll0034	Synechocystis sp. (strain PCC 6803 / Kazusa)	258	GO:0006508; GO:0008233; GO:0016020	TRANSMEM 40..59; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55456	unreviewed	Q55456_SYNY3	Sll0031 protein	sll0031	sll0031	Synechocystis sp. (strain PCC 6803 / Kazusa)	395	GO:0046872; GO:0051536		
Q55457	unreviewed	Q55457_SYNY3	Slr0038 protein	slr0038	slr0038	Synechocystis sp. (strain PCC 6803 / Kazusa)	132			
Q55466	unreviewed	Q55466_SYNY3	Sll0518 protein	sll0518	sll0518	Synechocystis sp. (strain PCC 6803 / Kazusa)	385			
Q55474	unreviewed	Q55474_SYNY3	Sll0513 protein	sll0513	sll0513	Synechocystis sp. (strain PCC 6803 / Kazusa)	277	GO:0004310; GO:0009058; GO:0045338; GO:0051996		
Q55476	unreviewed	Q55476_SYNY3	Soluble lytic transglycosylase	slt		Synechocystis sp. (strain PCC 6803 / Kazusa)	847	GO:0004553; GO:0016020; GO:0042597	TRANSMEM 129..147; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55477	unreviewed	Q55477_SYNY3	Serine proteinase	slr0535	slr0535	Synechocystis sp. (strain PCC 6803 / Kazusa)	613	GO:0004252; GO:0006508; GO:0016020	TRANSMEM 448..474; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 486..506; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 532..551; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 563..584; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 590..609; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55478	unreviewed	Q55478_SYNY3	Ap-4-A phosphorylase II	sll0509	sll0509	Synechocystis sp. (strain PCC 6803 / Kazusa)	302	GO:0003877; GO:0005524; GO:0009117		
Q55479	unreviewed	Q55479_SYNY3	Sll0508 protein	sll0508	sll0508	Synechocystis sp. (strain PCC 6803 / Kazusa)	170			
Q55485	unreviewed	Q55485_SYNY3	Sll0503 protein	sll0503	sll0503	Synechocystis sp. (strain PCC 6803 / Kazusa)	474	GO:0002098; GO:0005525; GO:0005737; GO:0016020; GO:0030488		
Q55488	unreviewed	Q55488_SYNY3	Slr0541 protein	slr0541	slr0541	Synechocystis sp. (strain PCC 6803 / Kazusa)	236	GO:0005829; GO:0006541		
Q55489	unreviewed	Q55489_SYNY3	Sll0499 protein	sll0499	sll0499	Synechocystis sp. (strain PCC 6803 / Kazusa)	948			
Q55490	unreviewed	Q55490_SYNY3	ABC transporter	slr0544	slr0544	Synechocystis sp. (strain PCC 6803 / Kazusa)	266	GO:0005524; GO:0005886; GO:0016887; GO:0022857; GO:0055085		
Q55491	unreviewed	Q55491_SYNY3	Sll0498 protein	sll0498	sll0498	Synechocystis sp. (strain PCC 6803 / Kazusa)	150	GO:0016020	TRANSMEM 28..52; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55492	unreviewed	Q55492_SYNY3	Sll0497 protein	sll0497	sll0497	Synechocystis sp. (strain PCC 6803 / Kazusa)	275	GO:0000918; GO:0005886		
Q55493	unreviewed	Q55493_SYNY3	Auxin-induced protein	slr0545	slr0545	Synechocystis sp. (strain PCC 6803 / Kazusa)	314	GO:0004033; GO:0005737		
Q55494	unreviewed	Q55494_SYNY3	Sll0496 protein	sll0496	sll0496	Synechocystis sp. (strain PCC 6803 / Kazusa)	394	GO:0015920; GO:0043190	TRANSMEM 32..51; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 81..99; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 120..143; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 312..330; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 342..365; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 371..389; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55495	unreviewed	Q55495_SYNY3	Sll0494 protein	sll0494	sll0494	Synechocystis sp. (strain PCC 6803 / Kazusa)	301			
Q55496	unreviewed	Q55496_SYNY3	Sll0493 protein	sll0493	sll0493	Synechocystis sp. (strain PCC 6803 / Kazusa)	228	GO:0006813; GO:0008324		
Q55501	unreviewed	Q55501_SYNY3	Slr0929 protein	slr0929	slr0929	Synechocystis sp. (strain PCC 6803 / Kazusa)	195	GO:0005524; GO:0005525; GO:0005829; GO:0006614; GO:0009898; GO:0016887; GO:0051782		
Q55502	unreviewed	Q55502_SYNY3	Slr0930 protein	slr0930	slr0930	Synechocystis sp. (strain PCC 6803 / Kazusa)	436			
Q55507	unreviewed	Q55507_SYNY3	Ammonium transport protein	cysQ		Synechocystis sp. (strain PCC 6803 / Kazusa)	291	GO:0000103; GO:0008441; GO:0046854; GO:0050427		
Q55509	unreviewed	Q55509_SYNY3	Sll0536 protein	sll0536	sll0536	Synechocystis sp. (strain PCC 6803 / Kazusa)	356	GO:0006813; GO:0008324; GO:0016020	TRANSMEM 12..32; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 38..55; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 62..83; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55514	unreviewed	Q55514_SYNY3	Slr0552 protein	slr0552	slr0552	Synechocystis sp. (strain PCC 6803 / Kazusa)	244			
Q55516	unreviewed	Q55516_SYNY3	Slr0554 protein	slr0554	slr0554	Synechocystis sp. (strain PCC 6803 / Kazusa)	1036			
Q55517	unreviewed	Q55517_SYNY3	Sll0529 protein	sll0529	sll0529	Synechocystis sp. (strain PCC 6803 / Kazusa)	731	GO:0005975; GO:0016832		
Q55519	unreviewed	Q55519_SYNY3	Sll0525 protein	sll0525	sll0525	Synechocystis sp. (strain PCC 6803 / Kazusa)	131			
Q55520	unreviewed	Q55520_SYNY3	Ssl1004 protein	ssl1004	ssl1004	Synechocystis sp. (strain PCC 6803 / Kazusa)	92	GO:0097351		
Q55521	unreviewed	Q55521_SYNY3	Sll0524 protein	sll0524	sll0524	Synechocystis sp. (strain PCC 6803 / Kazusa)	447	GO:0005886		
Q55524	unreviewed	Q55524_SYNY3	Slr0320 protein	slr0320	slr0320	Synechocystis sp. (strain PCC 6803 / Kazusa)	531	GO:0003824; GO:0051536		
Q55525	unreviewed	Q55525_SYNY3	RNA polymerase sigma factor	rpoD		Synechocystis sp. (strain PCC 6803 / Kazusa)	345	GO:0003677; GO:0006352; GO:0016987		
Q55528	unreviewed	Q55528_SYNY3	Alpha-mannosidase	ams1		Synechocystis sp. (strain PCC 6803 / Kazusa)	1042	GO:0004559; GO:0006013; GO:0009313; GO:0030246; GO:0046872		
Q55529	unreviewed	Q55529_SYNY3	OppC in a binding protein-dependent transport system	slr0324	slr0324	Synechocystis sp. (strain PCC 6803 / Kazusa)	294	GO:0005886; GO:0055085	TRANSMEM 25..47; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 88..116; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 128..146; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 158..179; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 214..243; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 263..285; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"	
Q55530	unreviewed	Q55530_SYNY3	Slr0325 protein	slr0325	slr0325	Synechocystis sp. (strain PCC 6803 / Kazusa)	161			
Q55531	unreviewed	Q55531_SYNY3	Sll0301 protein	sll0301	sll0301	Synechocystis sp. (strain PCC 6803 / Kazusa)	169			
Q55532	unreviewed	Q55532_SYNY3	Riboflavin synthase alpha chain	ribC		Synechocystis sp. (strain PCC 6803 / Kazusa)	226	GO:0004746; GO:0009231		
Q55533	unreviewed	Q55533_SYNY3	Slr0326 protein	slr0326	slr0326	Synechocystis sp. (strain PCC 6803 / Kazusa)	147			
Q55534	unreviewed	Q55534_SYNY3	Iron utilization protein	hitB		Synechocystis sp. (strain PCC 6803 / Kazusa)	557	GO:0005886; GO:0055085	TRANSMEM 18..44; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 64..87; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 99..116; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 150..173; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 249..267; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 297..321; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 341..362; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 374..397; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 417..442; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 469..491; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"; TRANSMEM 527..547; /note="Helical"; /evidence="ECO:0000256|RuleBase:RU363032"	
Q55536	unreviewed	Q55536_SYNY3	Xylose repressor	xylR		Synechocystis sp. (strain PCC 6803 / Kazusa)	327			
Q55537	unreviewed	Q55537_SYNY3	Sll0298 protein	sll0298	sll0298	Synechocystis sp. (strain PCC 6803 / Kazusa)	210	GO:0016020	TRANSMEM 84..108; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 115..135; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 168..200; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55538	unreviewed	Q55538_SYNY3	Sll0297 protein	sll0297	sll0297	Synechocystis sp. (strain PCC 6803 / Kazusa)	195			
Q55539	unreviewed	Q55539_SYNY3	Unidentified open reading frame	sll0296	sll0296	Synechocystis sp. (strain PCC 6803 / Kazusa)	186			
Q55540	unreviewed	Q55540_SYNY3	Response regulator like protein	ssl0564	ssl0564	Synechocystis sp. (strain PCC 6803 / Kazusa)	89	GO:0003677; GO:0006355		
Q55541	unreviewed	Q55541_SYNY3	Slr0333 protein	slr0333	slr0333	Synechocystis sp. (strain PCC 6803 / Kazusa)	106			
Q55542	unreviewed	Q55542_SYNY3	Slr0334 protein	slr0334	slr0334	Synechocystis sp. (strain PCC 6803 / Kazusa)	110			
Q55543	unreviewed	Q55543_SYNY3	Sll0295 protein	sll0295	sll0295	Synechocystis sp. (strain PCC 6803 / Kazusa)	268	GO:0005829; GO:0006281; GO:0008967; GO:0016311		
Q55545	unreviewed	Q55545_SYNY3	Slr0337 protein	slr0337	slr0337	Synechocystis sp. (strain PCC 6803 / Kazusa)	729	GO:0003824; GO:0005975		
Q55546	unreviewed	Q55546_SYNY3	Sll0294 protein	sll0294	sll0294	Synechocystis sp. (strain PCC 6803 / Kazusa)	400			
Q55547	unreviewed	Q55547_SYNY3	Sll0293 protein	sll0293	sll0293	Synechocystis sp. (strain PCC 6803 / Kazusa)	170			
Q55548	unreviewed	Q55548_SYNY3	Slr0338 protein	slr0338	slr0338	Synechocystis sp. (strain PCC 6803 / Kazusa)	364	GO:0000166		
Q55549	unreviewed	Q55549_SYNY3	Slr0168 protein	slr0168	slr0168	Synechocystis sp. (strain PCC 6803 / Kazusa)	643			
Q55551	unreviewed	Q55551_SYNY3	Ycf37 gene product	ycf37		Synechocystis sp. (strain PCC 6803 / Kazusa)	175	GO:0016020	TRANSMEM 6..25; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55552	unreviewed	Q55552_SYNY3	IMP dehydrogenase	guaB		Synechocystis sp. (strain PCC 6803 / Kazusa)	155			
Q55553	unreviewed	Q55553_SYNY3	Sll0177 protein	sll0177	sll0177	Synechocystis sp. (strain PCC 6803 / Kazusa)	442	GO:0000150; GO:0003677; GO:0006310		
Q55554	unreviewed	Q55554_SYNY3	Sll0176 protein	sll0176	sll0176	Synechocystis sp. (strain PCC 6803 / Kazusa)	167	GO:0003677; GO:0045892; GO:0046872		
Q55555	unreviewed	Q55555_SYNY3	Putative ORF1	sll0175	sll0175	Synechocystis sp. (strain PCC 6803 / Kazusa)	540			
Q55556	unreviewed	Q55556_SYNY3	Sll0174 protein	sll0174	sll0174	Synechocystis sp. (strain PCC 6803 / Kazusa)	284			
Q55558	unreviewed	Q55558_SYNY3	Sll0172 protein	sll0172	sll0172	Synechocystis sp. (strain PCC 6803 / Kazusa)	152	GO:0030288		
Q55560	unreviewed	Q55560_SYNY3	Sll0168 protein	sll0168	sll0168	Synechocystis sp. (strain PCC 6803 / Kazusa)	111			
Q55561	unreviewed	Q55561_SYNY3	Sll0167 protein	sll0167	sll0167	Synechocystis sp. (strain PCC 6803 / Kazusa)	164			
Q55564	unreviewed	Q55564_SYNY3	Sll0162 protein	sll0162	sll0162	Synechocystis sp. (strain PCC 6803 / Kazusa)	194			
Q55565	unreviewed	Q55565_SYNY3	Slr0179 protein	slr0179	slr0179	Synechocystis sp. (strain PCC 6803 / Kazusa)	357	GO:0003924; GO:0005525; GO:0016020		
Q55567	unreviewed	Q55567_SYNY3	Transposase	sll0161	sll0161	Synechocystis sp. (strain PCC 6803 / Kazusa)	100	GO:0003677; GO:0004803; GO:0006313		
Q55568	unreviewed	Q55568_SYNY3	Transposase	ssl0296	ssl0296	Synechocystis sp. (strain PCC 6803 / Kazusa)	84			
Q55570	unreviewed	Q55570_SYNY3	Sll0160 protein	sll0160	sll0160	Synechocystis sp. (strain PCC 6803 / Kazusa)	224	GO:0005886; GO:0009055; GO:0022904	TRANSMEM 21..40; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 60..80; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 101..123; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 143..173; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 205..223; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55571	unreviewed	Q55571_SYNY3	Sll0157 protein	sll0157	sll0157	Synechocystis sp. (strain PCC 6803 / Kazusa)	256			
Q55572	unreviewed	Q55572_SYNY3	Sll0156 protein	sll0156	sll0156	Synechocystis sp. (strain PCC 6803 / Kazusa)	208			
Q55573	unreviewed	Q55573_SYNY3	Slr0184 protein	slr0184	slr0184	Synechocystis sp. (strain PCC 6803 / Kazusa)	206			
Q55576	unreviewed	Q55576_SYNY3	Slr0359 protein	slr0359	slr0359	Synechocystis sp. (strain PCC 6803 / Kazusa)	1244			
Q55577	unreviewed	Q55577_SYNY3	Slr0360 protein	slr0360	slr0360	Synechocystis sp. (strain PCC 6803 / Kazusa)	535	GO:0016020	TRANSMEM 19..41; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 47..67; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 88..111; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 123..144; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 156..176; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 182..202; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 209..232; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 238..257; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 264..283; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 303..325; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 337..355; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 361..380; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 392..411; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 440..467; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 474..493; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 505..526; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55579	unreviewed	Q55579_SYNY3	Slr0362 protein	slr0362	slr0362	Synechocystis sp. (strain PCC 6803 / Kazusa)	184	GO:0008962; GO:0016791		
Q55580	unreviewed	Q55580_SYNY3	Sll0350 protein	sll0350	sll0350	Synechocystis sp. (strain PCC 6803 / Kazusa)	803	GO:0009279		
Q55581	unreviewed	Q55581_SYNY3	Slr0363 protein	slr0363	slr0363	Synechocystis sp. (strain PCC 6803 / Kazusa)	203			
Q55582	unreviewed	Q55582_SYNY3	Slr0364 protein	slr0364	slr0364	Synechocystis sp. (strain PCC 6803 / Kazusa)	3029			
Q55583	unreviewed	Q55583_SYNY3	Slr0366 protein	slr0366	slr0366	Synechocystis sp. (strain PCC 6803 / Kazusa)	1742	GO:0005509		
Q55584	unreviewed	Q55584_SYNY3	Cation or drug efflux system protein	slr0369	slr0369	Synechocystis sp. (strain PCC 6803 / Kazusa)	1083	GO:0005886; GO:0015562; GO:0042910	TRANSMEM 12..34; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 350..369; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 376..398; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 404..426; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 447..468; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 474..497; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 546..565; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 878..896; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 908..926; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 946..968; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 994..1015; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 1027..1048; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55588	unreviewed	Q55588_SYNY3	Slr0373 protein	slr0373	slr0373	Synechocystis sp. (strain PCC 6803 / Kazusa)	126	GO:0006355		
Q55589	unreviewed	Q55589_SYNY3	Cell division cycle protein	slr0374	slr0374	Synechocystis sp. (strain PCC 6803 / Kazusa)	501	GO:0005524; GO:0016887; GO:0051301		
Q55590	unreviewed	Q55590_SYNY3	Slr0376 protein	slr0376	slr0376	Synechocystis sp. (strain PCC 6803 / Kazusa)	116			
Q55591	unreviewed	Q55591_SYNY3	Slr0377 protein	slr0377	slr0377	Synechocystis sp. (strain PCC 6803 / Kazusa)	409			
Q55592	unreviewed	Q55592_SYNY3	7-beta-(4-carbaxybutanamido)cephalosporanic acid acylase	slr0378	slr0378	Synechocystis sp. (strain PCC 6803 / Kazusa)	704	GO:0016811; GO:0017000; GO:0046872		
Q55594	unreviewed	Q55594_SYNY3	Slr0380 protein	slr0380	slr0380	Synechocystis sp. (strain PCC 6803 / Kazusa)	459			
Q55596	unreviewed	Q55596_SYNY3	3-ketoacyl-acyl carrier protein reductase	fabG		Synechocystis sp. (strain PCC 6803 / Kazusa)	259	GO:0016491		
Q55597	unreviewed	Q55597_SYNY3	Slr0383 protein	slr0383	slr0383	Synechocystis sp. (strain PCC 6803 / Kazusa)	186	GO:0003676; GO:0008757; GO:0031167		
Q55598	unreviewed	Q55598_SYNY3	Slr0384 protein	slr0384	slr0384	Synechocystis sp. (strain PCC 6803 / Kazusa)	409	GO:0016757		
Q55599	unreviewed	Q55599_SYNY3	Sll0328 protein	sll0328	sll0328	Synechocystis sp. (strain PCC 6803 / Kazusa)	139	GO:0003676		
Q55600	unreviewed	Q55600_SYNY3	Sll0327 protein	sll0327	sll0327	Synechocystis sp. (strain PCC 6803 / Kazusa)	139	GO:0016020	TRANSMEM 18..38; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 44..68; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 80..104; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 110..133; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55601	unreviewed	Q55601_SYNY3	Slr0386 protein	slr0386	slr0386	Synechocystis sp. (strain PCC 6803 / Kazusa)	412	GO:0016020; GO:0016788	TRANSMEM 21..43; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55602	unreviewed	Q55602_SYNY3	NifS protein	nifS		Synechocystis sp. (strain PCC 6803 / Kazusa)	386	GO:0031071		
Q55603	unreviewed	Q55603_SYNY3	Slr0388 protein	slr0388	slr0388	Synechocystis sp. (strain PCC 6803 / Kazusa)	224			
Q55604	unreviewed	Q55604_SYNY3	Slr0769 protein	slr0769	slr0769	Synechocystis sp. (strain PCC 6803 / Kazusa)	204	GO:0016740; GO:0018104; GO:0071972		
Q55605	unreviewed	Q55605_SYNY3	Slr0770 protein	slr0770	slr0770	Synechocystis sp. (strain PCC 6803 / Kazusa)	106			
Q55606	unreviewed	Q55606_SYNY3	Slr0771 protein	slr0771	slr0771	Synechocystis sp. (strain PCC 6803 / Kazusa)	111			
Q55608	unreviewed	Q55608_SYNY3	Slr0773 protein	slr0773	slr0773	Synechocystis sp. (strain PCC 6803 / Kazusa)	226	GO:0006813; GO:0008324		
Q55614	unreviewed	Q55614_SYNY3	High-affinity branched-chain amino acid transport ATP-binding protein	livG		Synechocystis sp. (strain PCC 6803 / Kazusa)	373	GO:0005524; GO:0005886; GO:0016887		
Q55615	unreviewed	Q55615_SYNY3	Sll0763 protein	sll0763	sll0763	Synechocystis sp. (strain PCC 6803 / Kazusa)	119			
Q55616	unreviewed	Q55616_SYNY3	Sll0762 protein	sll0762	sll0762	Synechocystis sp. (strain PCC 6803 / Kazusa)	116			
Q55617	unreviewed	Q55617_SYNY3	Sll0761 protein	sll0761	sll0761	Synechocystis sp. (strain PCC 6803 / Kazusa)	119			
Q55619	unreviewed	Q55619_SYNY3	ABC transporter	sll0759	sll0759	Synechocystis sp. (strain PCC 6803 / Kazusa)	347	GO:0005524; GO:0016887		
Q55620	unreviewed	Q55620_SYNY3	Slr0779 protein	slr0779	slr0779	Synechocystis sp. (strain PCC 6803 / Kazusa)	206	GO:0016020	TRANSMEM 43..64; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 76..94; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 114..137; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 144..162; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 168..186; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55623	unreviewed	Q55623_SYNY3	Sll0756 protein	sll0756	sll0756	Synechocystis sp. (strain PCC 6803 / Kazusa)	202			
Q55627	unreviewed	Q55627_SYNY3	Sll0752 protein	sll0752	sll0752	Synechocystis sp. (strain PCC 6803 / Kazusa)	287			
Q55628	unreviewed	Q55628_SYNY3	Ycf22 protein	ycf22		Synechocystis sp. (strain PCC 6803 / Kazusa)	169	GO:0016020	TRANSMEM 12..36; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55631	unreviewed	Q55631_SYNY3	Sll0749 protein	sll0749	sll0749	Synechocystis sp. (strain PCC 6803 / Kazusa)	199			
Q55632	unreviewed	Q55632_SYNY3	Slr0784 protein	slr0784	slr0784	Synechocystis sp. (strain PCC 6803 / Kazusa)	340	GO:0016020; GO:0055085	TRANSMEM 26..44; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 56..81; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 145..165; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 199..220; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 226..243; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 293..323; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55633	unreviewed	Q55633_SYNY3	Slr0341 protein	slr0341	slr0341	Synechocystis sp. (strain PCC 6803 / Kazusa)	318	GO:0030288		
Q55634	unreviewed	Q55634_SYNY3	Sll0325 protein	sll0325	sll0325	Synechocystis sp. (strain PCC 6803 / Kazusa)	496	GO:0016020	TRANSMEM 12..33; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55635	unreviewed	Q55635_SYNY3	Mannosyl transferase	rfbW		Synechocystis sp. (strain PCC 6803 / Kazusa)	473	GO:0016757		
Q55636	unreviewed	Q55636_SYNY3	Slr0345 protein	slr0345	slr0345	Synechocystis sp. (strain PCC 6803 / Kazusa)	135	GO:0016020	TRANSMEM 16..35; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 42..63; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 83..103; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55639	unreviewed	Q55639_SYNY3	Sll0321 protein	sll0321	sll0321	Synechocystis sp. (strain PCC 6803 / Kazusa)	498	GO:0005737; GO:0016491		
Q55640	unreviewed	Q55640_SYNY3	Slr0347 protein	slr0347	slr0347	Synechocystis sp. (strain PCC 6803 / Kazusa)	261	GO:0005886; GO:0140359	TRANSMEM 23..48; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 68..92; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 112..139; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 151..174; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 181..198; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"; TRANSMEM 234..253; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55641	unreviewed	Q55641_SYNY3	Ribonuclease D	rnd		Synechocystis sp. (strain PCC 6803 / Kazusa)	217	GO:0003676; GO:0006139; GO:0008408		
Q55644	unreviewed	Q55644_SYNY3	Transposase	sll0317	sll0317	Synechocystis sp. (strain PCC 6803 / Kazusa)	132	GO:0003677; GO:0004803; GO:0006313; GO:0016020	TRANSMEM 77..96; /note="Helical"; /evidence="ECO:0000256|SAM:Phobius"	
Q55645	unreviewed	Q55645_SYNY3	Transposase	slr0352	slr0352	Synechocystis sp. (strain PCC 6803 / Kazusa)	282	GO:0003676		
Q55646	unreviewed	Q55646_SYNY3	Transposase	sll0315	sll0315	Synechocystis sp. (strain PCC 6803 / Kazusa)	227	GO:0003677; GO:0004803; GO:0006313		
